                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2042,                  4.212,                0.99542,                0.00067,                0.07233,                0.00503,                0.00385,                0.99002,                 4.1929,                0.87832,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.2351,                 2.9595,                 0.9379,                 0.0044,                0.39296,                0.14778,                0.10151,                 1.0334,                 3.7607,                0.90289,                0.06113,              0.0041297,              0.0041297
                      2,                 1.1877,                 2.2342,                0.93591,                0.60917,                0.37663,                0.39757,                 0.2864,                 1.0144,                  3.106,                 0.8897,               0.040985,              0.0059852,              0.0059852
                      3,                 1.1183,                  1.721,                0.93605,                0.97223,                0.22117,                0.59963,                0.39653,                 1.1175,                 2.6938,                0.91277,               0.020666,              0.0076664,              0.0076664
                      4,                 1.1614,                 1.5424,                 0.9314,                 0.8658,                0.53338,                0.67774,                0.44256,                 1.1609,                  2.097,                0.93508,               0.008416,               0.008416,               0.008416
                      5,                 1.1423,                  1.497,                0.94276,                0.77879,                0.64207,                 0.6933,                0.41376,                 1.2165,                 1.5042,                0.97377,               0.008416,               0.008416,               0.008416
                      6,                 1.1817,                 1.3775,                0.94332,                0.85848,                0.68806,                0.76052,                0.50978,                 1.0688,                 1.2562,                0.92904,                0.00802,                0.00802,                0.00802
                      7,                 1.0929,                  1.266,                 0.9367,                0.79163,                0.68398,                0.74229,                0.49436,                 1.0436,                 1.3035,                 0.9123,               0.007624,               0.007624,               0.007624
                      8,                 1.0466,                  1.199,                0.92238,                0.82431,                0.75249,                0.79365,                0.55091,                0.95274,                 1.1377,                0.89474,               0.007228,               0.007228,               0.007228
                      9,                0.99429,                 1.1598,                0.91276,                 0.8575,                0.73516,                0.80289,                0.53871,                 0.9596,                 1.1258,                0.89894,               0.006832,               0.006832,               0.006832
                     10,                 1.0204,                 1.0916,                0.91245,                0.87089,                0.76049,                 0.8237,                0.56039,                 0.9399,                 1.0642,                0.88422,               0.006436,               0.006436,               0.006436
                     11,                 1.0589,                 1.0543,                0.90847,                0.89337,                0.76448,                0.83168,                0.57017,                0.94304,                 1.0142,                0.88368,                0.00604,                0.00604,                0.00604
                     12,                 1.0123,                 1.0063,                0.89944,                0.88727,                0.77048,                0.83285,                 0.5879,                0.92069,                0.97569,                0.88047,               0.005644,               0.005644,               0.005644
                     13,                0.94854,                0.94295,                0.89132,                0.89843,                0.76749,                0.85293,                0.61148,                0.86024,                0.93765,                 0.8652,               0.005248,               0.005248,               0.005248
                     14,                0.95511,                0.92357,                0.88093,                0.91196,                0.79514,                0.85278,                0.60917,                0.85366,                 0.8887,                 0.8674,               0.004852,               0.004852,               0.004852
                     15,                0.91071,                0.99949,                0.87906,                0.89624,                0.77604,                0.83772,                 0.6002,                0.88837,                0.90039,                0.86904,               0.004456,               0.004456,               0.004456
                     16,                0.90039,                0.96556,                0.86926,                0.91727,                0.79064,                 0.8537,                0.62657,                0.83966,                0.85051,                0.86389,                0.00406,                0.00406,                0.00406
                     17,                0.90248,                0.94273,                0.86844,                0.91296,                0.81248,                0.86636,                0.63281,                 0.8373,                0.82079,                0.86175,               0.003664,               0.003664,               0.003664
                     18,                0.88086,                0.91743,                0.87323,                0.93046,                0.80201,                0.87144,                0.63845,                0.82084,                0.82568,                 0.8612,               0.003268,               0.003268,               0.003268
                     19,                  0.863,                0.87678,                0.86147,                0.92393,                0.81554,                0.86893,                0.64598,                0.80983,                0.78743,                0.85733,               0.002872,               0.002872,               0.002872
                     20,                0.86694,                0.85854,                0.86944,                 0.9325,                0.82313,                0.87339,                0.65085,                0.78602,                0.74938,                 0.8521,               0.002476,               0.002476,               0.002476
                     21,                 0.8273,                0.83384,                0.86112,                0.93216,                0.81528,                0.87838,                0.65142,                0.78005,                0.74855,                0.85107,                0.00208,                0.00208,                0.00208
                     22,                0.80249,                 0.8043,                0.84846,                 0.9416,                0.81775,                0.87872,                0.66316,                0.76181,                0.72641,                0.84691,               0.001684,               0.001684,               0.001684
                     23,                0.80231,                0.78592,                0.84436,                 0.9284,                0.82837,                0.87731,                0.66426,                 0.7548,                0.70314,                0.84455,               0.001288,               0.001288,               0.001288
                     24,                0.78964,                0.76631,                0.85002,                0.94365,                0.82421,                0.88124,                 0.6702,                0.73609,                0.68852,                0.84173,               0.000892,               0.000892,               0.000892
